video_id,video_title,upload_date,view_count,like_count,favorite_count,comment_count
wDAfLRJDxbc,El SIPDN   Sobreviviendo a la naturaleza y a las redes con Andreína Borges   EP 164,2022-02-15,29616,1202,0,442
15_NrxfDEPQ,El SIPDN   Música de iglesia y grabar un especial de comedia con Lucas Lauriente   EP 163,2022-02-08,30431,1366,0,225
rZA2ChZXhbE,El SIPDN   La gente que dice  El que es pobre es porque quiere    EP 162,2022-02-01,37116,1236,0,201
SDIgDVXDcNM,El SIPDN   La irreverencia y la cárcel con Jóse Rafael Guzmán   EP 161,2022-01-25,54910,1581,0,326
V14fzgeX00M,El SIPDN   La RAE y el triunfo de aperturar   EP 160,2022-01-18,25505,779,0,106
Du-40JEBhkg,El SIPDN   Les cuento de mi viaje a Venezuela   EP 159,2022-01-13,105647,3465,0,642
JchFLWvY-HI,El SIPDN   Nuestras metas para el año nuevo   EP 158,2022-01-04,24430,874,0,120
WFxW1HySKnM,El SIPDN   Hablando de doblaje y stand up con Carlos Ballarta   EP 157,2021-12-28,26283,1071,0,138
NYK0NIbylqE,El SIPDN   Artistas expulsado de países  Ft  Chucho Roldán   EP 156,2021-12-21,32301,1079,0,161
nlMc1pCDqRE,El SIPDN   Los contratos anti spoiler de Marvel y la discriminación a los chores (shorts)   EP 155,2021-12-14,24273,867,0,138
x--kVVMiY-Y,El SIPDN   Cómo hacer un juego de video con Carl Zitelmann   EP 154,2021-12-07,15001,545,0,85
fZdfkcvmBko,El SIPDN   ¿Cuántos kilos se puede perder en una ida al baño?   EP 153,2021-11-30,21476,856,0,108
WtwLI2734ow,El SIPDN   La gente que dice  me odian porque soy muy sincera o  con Gabo Ruíz   EP 152,2021-11-24,53777,1804,0,306
YKn-GyIr-XE,El SIPDN   Mi viaje al norte de Argentina y la pachamama   EP 151,2021-11-16,20763,808,0,147
Pczrck4-iyA,El SIPDN   EPISODIO ESPECIAL 150 con Manuel Ángel Redondo   EP 150,2021-11-09,92326,2977,0,366
3to9a8LrKc4,El SIPDN   Robando 3MM de dólares con los juegos del calamar   EP 149,2021-11-03,27614,949,0,142
viO9QXhOqOk,El SIPDN   ¿Existe la feminidad frágil? con Estefanía León   EP 148,2021-10-26,34733,1261,0,171
xg14iXdmcIE,El SIPDN   Les cuento las fiestas más salvajes de Venezuela    EP 147,2021-10-19,29780,1160,0,183
UntLGXTnh8U,El SIPDN   Un venezolano en el mundial de globos   EP 146,2021-10-12,20449,800,0,123
WtrO75aw5sc,El SIPDN   Las fotos tipo carnet y el calentamiento global   EP 145,2021-10-05,22189,779,0,122
KjzvpKRymyc,El SIPDN   Atrapamos a un ladrón y estafador  EP 144,2021-09-28,32015,1415,0,277
aqi1v33eL24,El SIPDN   ¿Cómo es ser una Miss y estamos a la moda? Con Daniela Di Giacomo   EP 143,2021-09-21,33054,1370,0,157
dLLRLKxlBGU,El SIPDN   Desastres naturales y consejos de migración con Chucho Roldán   EP 142,2021-09-14,28047,983,0,165
TV_amudCDh0,El SIPDN   141 datos del cuerpo humano   EP 141,2021-09-07,40932,1480,0,205
HKu8kQU1p2Q,El SIPDN   ¿De dónde viene el auge de la astrología?   EP 140,2021-08-31,22530,886,0,121
qE1FcBlPA0E,El SIPDN   Cómo se filtran las películas y vienen los robots   EP 139,2021-08-24,24721,876,0,97
KB8tKwMKfpg,El SIPDN   ¿Hacer plata jugando en la computadora?    EP 138,2021-08-17,35655,1313,0,244
VxlXWDK7yOI,El SIPDN   Los UFOs y Scarlett Johansson contra Disney   EP 137,2021-08-10,24493,921,0,93
